Movie,Year,RunTime,imdb,Genre,votes
The Trial of the Chicago 7,(2020),129 min,7.9,"Drama, History, Thriller","57,751"
Tenet,(2020),150 min,7.8,"Action, Sci-Fi","145,966"
Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,"Animation, Action, Adventure","353,271"
The Gentlemen,(2019),113 min,7.8,"Action, Comedy, Crime","205,291"
Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,"Adventure, Family, Fantasy","641,798"
Knives Out,(2019),130 min,7.9,"Comedy, Crime, Drama","416,034"
Gisaengchung,(2019),132 min,8.6,"Comedy, Drama, Thriller","508,375"
Once Upon a Time... in Hollywood,(2019),161 min,7.6,"Comedy, Drama","528,856"
Soorarai Pottru,(2020),153 min,9.0,Drama,"38,953"
1917,(2019),119 min,8.3,"Drama, War","390,420"
Avengers: Endgame,(2019),181 min,8.4,"Action, Adventure, Drama","780,340"
Jojo Rabbit,(2019),108 min,7.9,"Comedy, Drama, War","275,172"
The Shawshank Redemption,(1994),142 min,9.3,Drama,"2,307,624"
The Wolf of Wall Street,(2013),180 min,8.2,"Biography, Crime, Drama","1,159,904"
Joker,(2019),122 min,8.5,"Crime, Drama, Thriller","896,480"
The Godfather,(1972),175 min,9.2,"Crime, Drama","1,592,626"
Love Actually,(2003),135 min,7.6,"Comedy, Drama, Romance","418,944"
Interstellar,(2014),169 min,8.6,"Adventure, Drama, Sci-Fi","1,478,319"
One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,Drama,"905,916"
Inception,(2010),148 min,8.8,"Action, Adventure, Sci-Fi","2,032,707"
Hamilton,(2020),160 min,8.6,"Biography, Drama, History","46,780"
Titanic,(1997),194 min,7.8,"Drama, Romance","1,032,727"
Inglourious Basterds,(2009),153 min,8.3,"Adventure, Drama, War","1,246,421"
Ocean's Eleven,(2001),116 min,7.7,"Crime, Thriller","509,756"
The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,"Action, Adventure, Drama","1,636,698"
Little Women,(2019),135 min,7.8,"Drama, Romance","131,616"
The Dark Knight,(2008),152 min,9.0,"Action, Crime, Drama","2,270,635"
Home Alone,(1990),103 min,7.6,"Comedy, Family","456,952"
Blade Runner 2049,(2017),164 min,8.0,"Action, Drama, Mystery","450,588"
The Shining,(1980),146 min,8.4,"Drama, Horror","884,748"
Pulp Fiction,(1994),154 min,8.9,"Crime, Drama","1,800,971"
The Matrix,(1999),136 min,8.7,"Action, Sci-Fi","1,651,446"
Goodfellas,(1990),146 min,8.7,"Biography, Crime, Drama","1,004,555"
V for Vendetta,(2005),132 min,8.2,"Action, Drama, Sci-Fi","1,020,914"
Harry Potter and the Goblet of Fire,(2005),157 min,7.7,"Adventure, Family, Fantasy","538,682"
Ford v Ferrari,(2019),152 min,8.1,"Action, Biography, Drama","272,976"
